교과목, 학점, 교과목코드
성서와인간이해,2,all
채플,0,all
현대사회와기독교윤리,2,all
종교와과학,2,all
글쓰기,3,all
글쓰기,3,all
발표와토의,3,all
발표와토의,3,all
영어1,2,all
영어1,2,all
영어1,2,all
영어2,2,all
영어회화1,1,all
영어회화1,1,all
영어회화1,1,all
영어회화1,1,all
영어회화2,1,all
영어회화2,1,all
철학과인간,3,core
한국근현대사의이해,3,core
역사와문명,3,core
세계화와사회변화,3,core
세계화와사회변화,3,core
민주주의와현대사회,3,core
환경과인간,3,core
기독교와문화,2,all
영어3,2,all
영어3,2,all
영어회화3,1,all
영어회화3,1,all
창업입문,3,core
글로벌문화,3,core
고전으로읽는인문학,3,core
여성·소수자·공동체,3,core
예술과창조성,3,core
우주생명마음,3,core
SW프로그래밍입문,3,core
SW프로그래밍입문,3,core
4차산업혁명시대의진로선택,2,all
인공지능의세계,3,core
4차산업혁명의이해,3,core
4차산업혁명을위한비판적사고,3,core
인간심리의이해,3,basic
서양철학입문,3,basic
일본의언어와문화,3,basic
동양미술사입문,3,basic
한국미술사입문,3,basic
서양미술사입문,3,basic
디자인사,3,basic
디자인개론,3,basic
서양건축사,3,basic
영화와예술,3,basic
공간디자인이해,3,basic
동서양미술과미학,3,basic
건축학개론,2,basic
기초댄스1,2,basic
뮤지컬음악의이해1,2,basic
뮤지컬공연감상,3,basic
한국건축사,3,basic
오페라의감상과이해,3,basic
교향곡의감상과이해,3,basic
인간관계와커뮤니케이션,3,basic
다문화사회의이해,3,basic
창의적비즈니스,3,basic
미적분학1,3,basic
미적분학1,3,basic
미적분학1,3,basic
미적분학2,3,basic
공학수학1,3,basic
통계학개론,3,basic
통계학개론,3,basic
선형대수학개론,3,basic
물리학1,3,basic
물리학1,3,basic
물리학2,3,basic
물리학실험1,1,basic
물리학실험1,1,basic
일반생물학,3,basic
생물학1,3,basic
생물학실험1,1,basic
일반화학,3,basic
일반화학,3,basic
일반화학실험,1,basic
화학1,3,basic
화학1,3,basic
화학실험1,1,basic
일반생물학실험,1,basic
일반생물학실험,1,basic
미적분학연습1,1,basic
산업안전,3,basic
기술과경영,3,basic
전공자유학부세미나,1,basic
산업경영,3,basic
게임학개론,3,basic
스포츠와체육의탐구,3,basic
교양바둑,2,basic
TOEIC1,3,basic
C언어,3,basic
C++Programming,3,basic
프리젠테이션제작및실습,3,basic
엑셀기초및실무활용,3,basic
웹프로그래밍기초,3,basic
웹프로그래밍기초,3,basic
컴퓨팅사고와컴퓨터정보기술의활용,3,basic
기독교와성결혼가정,2,general
윤리학에로초대,2,general
영화로보는역사,3,general
영화와철학,3,general
미학의이해,2,general
지중해문화여행,3,general
예술과디자인,2,general
서양음악의이해,2,general
국악의이해,2,general
사진영상미디어의이해,3,general
금융시장의이해,3,general
현대가족과부모,2,general
현대중국의이해,2,general
글로벌리더를위한글로벌매너,3,general
자기분석과직무역량개발,2,general
자기경영과실전취업준비,2,general
취업기본역량과인품교육,3,general
기업창업과경영,3,general
사례로배우는기업가정신과창업,3,general
4차산업혁명시대기술과창업,3,general
소비자를위한생활법률,3,general
지구에서만나살아가는남자와여자,3,general
공학경제,3,general
공학경제,3,general
기초미적분학,3,general
교양골프,2,general
응급처치법,3,general
교양스포츠댄스,2,general
교양탁구,2,general
교양볼링,2,general
교양요가필라테스,2,general
교양테니스,2,general
해양레포츠,2,general
교양축구,2,general
교양농구,2,general
영양과운동,3,general
장애인의이해,3,general
교양바둑입문,3,general
현대인과정신건강,3,general
릿지등반,2,general
뉴스포츠,2,general
교양일본어,3,general
중급한국어1,3,general
중급한국어2,3,general
고급한국어2,3,general
비즈니스영어,3,general
초급불어,3,general
기초영어,2,general
쉽게!쉽게!실생활일본어첫걸음,3,general
한국어문법초급,3,general
한국어회화초급,3,general
한국어활용초급,3,general
SNS로톡하고빅테이터로놀아보자,3,general
방목석좌교수특강,2,general
용인학,2,general
교수(장경호)세미나,1,general
교수(노갑택)세미나,1,general
교수(조원득)세미나,1,general
전공과진로1,1,general
전공과진로2,1,general
교육학개론,2,general
교육심리,2,general
생활지도와상담,2,general
교육과정,2,general
특수교육학개론,2,general
교육행정및교육경영,2,general
교육실습,2,general
general실무,2,general
학교폭력예방및학생의이해,2,general
영어1,2,all
영어회화1,1,all
운동생리학,3,general
스포츠맛사지,3,general
스포츠테이핑,3,general
